UF,RAMO_SUSEP,CLASSIFICACAO_RISCO,INTENSIDADE_SINISTRO,IDADE_MAQUINA_ANOS,ACESSORIOS_SEGURADOS,PREMIO_LIQUIDO_BRL,VALOR_INDENIZADO_BRL,MTBF_HORAS,VENTO_MEDIO_MS,CHUVA_MM_ANUAL,TEMP_AMBIENTE_C,TEMP_MAQUINA_C
BA,0635 - Florestas,Baixo,Moderado,8,0,124702.68,123865.49,5333,3.7,962,28.6,70.9
GO,0631 - Benfeitorias,Alto,Moderado,8,1,272273.1,177986.34,5333,3.8,1623,24.0,84.6
GO,0622 - Penhor Rural,Alto,Moderado,3,2,107268.3,378923.06,2000,2.8,1785,25.4,84.1
MG,0622 - Penhor Rural,Médio,Leve,6,0,695402.87,7196.74,6000,2.1,1263,22.4,80.5
GO,0622 - Penhor Rural,Médio,Leve,5,8,661071.03,58036.32,5000,4.7,1387,24.6,81.0
BA,0622 - Penhor Rural,Baixo,Leve,2,7,212007.68,23001.32,2000,4.3,767,25.7,67.9
SP,0622 - Penhor Rural,Médio,Total,8,1,503488.43,20364.4,3200,3.1,1278,22.2,75.7
GO,0631 - Benfeitorias,Médio,Moderado,12,8,617486.1,427730.29,8000,2.4,1488,25.2,76.9
RS,0631 - Benfeitorias,Baixo,Leve,14,6,427520.59,351828.93,14000,5.1,1551,17.4,60.8
GO,0635 - Florestas,Baixo,Total,2,5,200342.91,48917.08,800,3.6,1542,28.2,63.9
MS,0621 - Agrícola,Baixo,Leve,12,5,92499.51,245807.94,12000,3.3,1524,23.0,75.5
RS,0622 - Penhor Rural,Baixo,Moderado,5,10,675481.42,236735.89,3333,5.8,1502,16.6,76.6
RS,0635 - Florestas,Baixo,Moderado,1,3,677803.09,86600.93,667,5.0,1718,21.3,69.0
MS,0621 - Agrícola,Baixo,Moderado,12,9,483998.56,216925.82,8000,4.0,1360,26.6,72.3
MT,0622 - Penhor Rural,Baixo,Leve,10,9,270796.6,199252.37,10000,3.3,2208,27.2,71.2
PR,0622 - Penhor Rural,Alto,Grave,6,1,278176.94,307925.05,3000,5.5,1694,21.3,97.3
MG,0631 - Benfeitorias,Médio,Total,13,6,551317.87,317546.83,5200,3.2,1171,23.0,82.5
MT,0621 - Agrícola,Médio,Moderado,12,4,675404.94,22652.0,8000,3.0,1639,24.2,77.5
MT,0621 - Agrícola,Alto,Moderado,9,10,668137.66,187306.31,6000,4.5,1872,26.2,81.2
SP,0635 - Florestas,Médio,Total,1,5,590409.77,312929.96,400,2.0,1366,20.6,71.6
MG,0631 - Benfeitorias,Baixo,Grave,11,1,490472.94,251568.13,5500,3.4,1407,25.0,70.8
MG,0631 - Benfeitorias,Médio,Leve,11,4,86001.47,428244.92,11000,1.6,1371,22.7,75.0
MT,0631 - Benfeitorias,Médio,Moderado,10,9,142180.82,329346.82,6667,2.7,1789,24.3,72.3
GO,0631 - Benfeitorias,Alto,Moderado,12,3,676451.79,81467.21,8000,3.7,1373,23.4,82.4
SP,0621 - Agrícola,Médio,Leve,12,8,464661.07,35284.37,12000,3.6,1173,22.8,73.7
SP,0621 - Agrícola,Baixo,Grave,14,5,31667.86,321209.64,7000,3.1,1333,20.9,76.7
RS,0622 - Penhor Rural,Baixo,Total,14,1,98566.87,13255.66,5600,5.4,1628,17.4,73.5
BA,0622 - Penhor Rural,Baixo,Total,14,0,506038.78,292887.79,5600,4.3,932,26.5,70.0
MG,0631 - Benfeitorias,Médio,Leve,3,4,28669.65,470115.12,3000,2.0,1113,23.5,83.9
MT,0631 - Benfeitorias,Médio,Leve,12,8,141585.84,287737.09,12000,3.2,1826,25.0,78.3
RS,0631 - Benfeitorias,Baixo,Total,7,5,422832.0,194084.96,2800,5.1,1558,18.1,66.6
MS,0622 - Penhor Rural,Crítico,Grave,4,9,526624.02,321644.11,2000,5.0,1267,25.5,98.1
PR,0635 - Florestas,Médio,Leve,9,11,497671.91,229126.45,9000,4.3,1623,17.1,80.2
BA,0635 - Florestas,Baixo,Total,3,6,187595.25,272808.39,1200,3.1,909,23.2,65.9
BA,0622 - Penhor Rural,Baixo,Grave,5,4,541329.94,470732.4,2500,4.8,729,24.6,69.2
BA,0622 - Penhor Rural,Baixo,Moderado,3,9,197005.59,193051.32,2000,4.2,954,25.6,66.5
SP,0622 - Penhor Rural,Baixo,Moderado,7,5,260914.78,480595.28,4667,2.5,1484,22.6,64.5
MS,0622 - Penhor Rural,Baixo,Leve,5,4,566206.27,452675.32,5000,4.7,1562,28.0,73.7
BA,0622 - Penhor Rural,Baixo,Leve,9,10,495983.85,97895.57,9000,5.3,1058,27.7,77.6
MS,0622 - Penhor Rural,Baixo,Leve,7,8,640686.97,34680.65,7000,4.9,1193,24.7,64.4
GO,0631 - Benfeitorias,Baixo,Grave,2,5,501769.35,50389.0,1000,2.8,1359,24.0,72.3
BA,0631 - Benfeitorias,Alto,Leve,4,10,437023.74,9110.91,4000,4.3,977,24.0,82.4
PR,0631 - Benfeitorias,Baixo,Leve,9,7,92914.21,47221.48,9000,4.3,1677,20.0,68.1
MS,0631 - Benfeitorias,Médio,Leve,12,1,291593.96,341503.39,12000,5.0,1477,24.4,75.6
MS,0622 - Penhor Rural,Médio,Moderado,14,11,217271.72,35594.32,9333,3.8,1978,25.6,74.5
PR,0635 - Florestas,Crítico,Total,2,8,201892.49,159487.82,800,3.9,1686,18.3,92.2
BA,0621 - Agrícola,Baixo,Leve,10,4,730432.65,422437.66,10000,3.6,1070,27.0,66.7
PR,0622 - Penhor Rural,Baixo,Leve,9,6,309995.85,11635.97,9000,3.0,1743,23.1,71.1
MS,0621 - Agrícola,Crítico,Grave,10,9,671733.75,407234.24,5000,4.9,1498,24.8,91.8
PR,0635 - Florestas,Alto,Leve,5,0,482575.5,140927.39,5000,5.1,1553,20.8,84.0
MS,0631 - Benfeitorias,Alto,Leve,2,9,601238.2,59082.41,2000,4.1,1514,26.4,81.4
MS,0635 - Florestas,Baixo,Leve,4,4,389411.89,348368.58,4000,5.0,1284,24.2,67.7
GO,0622 - Penhor Rural,Baixo,Leve,12,11,443255.32,314471.42,12000,3.8,1464,24.4,73.0
MT,0631 - Benfeitorias,Médio,Leve,12,9,382075.33,438736.01,12000,3.3,1727,26.0,80.0
MS,0622 - Penhor Rural,Crítico,Leve,7,1,166551.17,367535.52,7000,4.5,1412,25.2,88.1
BA,0631 - Benfeitorias,Médio,Leve,12,11,548777.78,401740.47,12000,5.7,1247,24.5,78.4
RS,0621 - Agrícola,Médio,Total,13,5,228559.96,141017.29,5200,5.5,1220,19.0,81.0
SP,0621 - Agrícola,Baixo,Leve,8,10,42629.08,88719.77,8000,4.3,1503,23.0,63.3
MG,0621 - Agrícola,Alto,Moderado,3,0,492967.41,375307.38,2000,1.5,1058,25.9,87.2
MT,0635 - Florestas,Baixo,Moderado,14,2,153405.24,403417.37,9333,4.5,1729,27.9,67.3
MT,0622 - Penhor Rural,Baixo,Leve,1,4,706832.47,495252.57,1000,3.9,1963,30.3,72.3
MT,0635 - Florestas,Médio,Moderado,4,3,716598.22,206308.84,2667,3.6,1810,24.5,74.9
GO,0621 - Agrícola,Médio,Leve,2,2,688276.68,186009.04,2000,3.6,1338,25.7,70.8
MS,0622 - Penhor Rural,Baixo,Total,8,9,293365.06,388206.48,3200,2.6,1293,25.4,63.5
GO,0621 - Agrícola,Baixo,Leve,4,4,36206.05,170401.77,4000,3.3,1602,28.4,70.2
MS,0635 - Florestas,Médio,Leve,2,10,698030.96,465378.66,2000,4.5,1290,23.4,79.0
BA,0635 - Florestas,Baixo,Leve,14,7,335433.51,429206.38,14000,5.7,932,24.3,66.4
GO,0635 - Florestas,Médio,Total,6,10,725824.74,214497.01,2400,3.1,1507,22.8,80.6
GO,0621 - Agrícola,Baixo,Moderado,6,3,723624.48,375435.53,4000,2.9,1402,19.8,63.4
SP,0622 - Penhor Rural,Médio,Moderado,10,0,643431.86,377271.44,6667,2.6,1722,20.9,77.7
RS,0622 - Penhor Rural,Médio,Leve,4,10,238475.45,51561.93,4000,6.2,1595,17.5,73.2
GO,0621 - Agrícola,Crítico,Grave,6,6,500.0,451276.45,3000,3.8,1196,24.3,89.4
SP,0622 - Penhor Rural,Baixo,Leve,13,7,642074.09,252626.19,13000,2.6,1428,22.7,70.2
PR,0621 - Agrícola,Baixo,Grave,2,2,254768.45,413228.73,1000,4.4,1501,23.8,66.6
RS,0622 - Penhor Rural,Baixo,Leve,10,5,147882.24,160024.8,10000,5.6,1628,20.9,68.5
BA,0631 - Benfeitorias,Crítico,Leve,12,1,428680.92,447761.61,12000,5.3,781,24.8,96.0
GO,0631 - Benfeitorias,Baixo,Leve,2,6,703712.21,194600.84,2000,2.9,1483,22.2,67.7
MG,0635 - Florestas,Alto,Leve,10,7,529621.6,5418.83,10000,2.9,1376,24.0,88.3
MT,0631 - Benfeitorias,Baixo,Moderado,14,5,438294.35,452690.99,9333,3.5,1930,23.4,65.5
PR,0631 - Benfeitorias,Médio,Leve,4,5,95452.96,45643.34,4000,2.8,1420,23.7,80.1
PR,0631 - Benfeitorias,Alto,Grave,14,4,470880.24,159656.82,7000,4.2,1550,22.4,90.8
BA,0621 - Agrícola,Médio,Leve,8,7,742789.04,475030.98,8000,4.7,829,25.1,68.1
SP,0631 - Benfeitorias,Médio,Moderado,14,0,126560.91,475303.57,9333,3.0,1302,18.6,74.8
PR,0631 - Benfeitorias,Médio,Leve,7,9,400789.0,286718.94,7000,3.8,1865,22.7,80.3
RS,0635 - Florestas,Baixo,Leve,12,3,661095.48,315918.61,12000,4.4,1561,18.8,69.2
GO,0631 - Benfeitorias,Crítico,Moderado,9,3,562057.25,224222.76,6000,3.2,1311,26.5,93.5
GO,0631 - Benfeitorias,Alto,Leve,14,2,530336.41,146605.39,14000,3.2,1638,20.8,82.6
MG,0622 - Penhor Rural,Crítico,Leve,8,2,534300.96,164332.27,8000,2.6,1618,21.8,92.3
BA,0635 - Florestas,Baixo,Grave,5,3,285631.08,336259.23,2500,4.4,1055,26.0,69.4
MT,0635 - Florestas,Alto,Total,13,10,237854.09,376187.26,5200,4.1,1572,26.1,89.7
SP,0635 - Florestas,Crítico,Leve,2,0,611786.84,395789.52,2000,4.5,1327,21.1,93.0
MT,0635 - Florestas,Baixo,Leve,5,10,612332.21,394809.07,5000,3.9,1990,27.2,71.4
PR,0635 - Florestas,Baixo,Moderado,8,10,653627.43,45603.05,5333,4.2,1494,17.9,68.4
BA,0635 - Florestas,Alto,Leve,10,1,687099.4,247210.15,10000,4.4,967,25.7,83.0
MG,0621 - Agrícola,Médio,Leve,9,8,395723.24,28779.38,9000,1.7,1416,23.2,76.3
MT,0631 - Benfeitorias,Alto,Leve,12,9,388599.31,274764.44,12000,3.8,1661,27.0,86.6
RS,0635 - Florestas,Baixo,Grave,12,1,603764.0,220765.25,6000,5.5,1491,20.4,68.3
GO,0631 - Benfeitorias,Alto,Moderado,12,4,496223.85,443852.09,8000,5.5,1014,21.8,86.2
PR,0631 - Benfeitorias,Baixo,Leve,13,8,533925.99,175457.51,13000,3.8,1446,16.9,78.3
MG,0621 - Agrícola,Baixo,Leve,9,8,601949.69,58533.51,9000,3.4,1262,25.6,73.5
MT,0635 - Florestas,Baixo,Leve,13,7,670253.87,71495.84,13000,3.8,1613,26.7,68.7
SP,0622 - Penhor Rural,Alto,Moderado,13,0,270046.49,380755.32,8667,2.1,1645,20.5,89.8
RS,0621 - Agrícola,Médio,Leve,1,0,297297.64,309109.03,1000,6.4,1285,22.1,76.4
RS,0622 - Penhor Rural,Médio,Leve,9,8,93136.91,50561.34,9000,6.1,1434,19.2,69.8
MT,0631 - Benfeitorias,Baixo,Grave,7,10,444253.1,42053.4,3500,4.4,1820,28.4,66.0
GO,0631 - Benfeitorias,Alto,Leve,9,7,51058.15,350484.57,9000,2.8,1716,24.1,77.5
MT,0621 - Agrícola,Baixo,Moderado,8,9,362558.56,36381.5,5333,4.9,1585,30.1,68.6
PR,0621 - Agrícola,Alto,Leve,1,8,418417.36,410930.03,1000,2.9,1774,23.5,85.1
MT,0622 - Penhor Rural,Médio,Leve,12,6,232742.41,353121.11,12000,4.3,1802,25.5,84.7
RS,0635 - Florestas,Baixo,Leve,8,2,453354.11,40674.39,8000,7.3,1353,20.9,71.3
MG,0622 - Penhor Rural,Médio,Grave,8,2,47112.68,42418.86,4000,2.4,1369,24.3,77.1
MT,0621 - Agrícola,Baixo,Grave,11,1,52077.44,493319.79,5500,3.3,1830,28.7,73.3
GO,0622 - Penhor Rural,Alto,Grave,3,4,621385.41,187135.4,1500,3.6,1410,22.1,76.2
BA,0621 - Agrícola,Médio,Leve,1,11,286138.22,185321.07,1000,4.1,910,27.4,78.9
MG,0622 - Penhor Rural,Baixo,Moderado,8,11,117118.87,406399.78,5333,2.0,1242,25.1,73.1
SP,0621 - Agrícola,Alto,Leve,3,2,403626.36,473624.29,3000,3.1,1417,18.5,79.1
MS,0621 - Agrícola,Baixo,Leve,3,5,583245.33,493000.53,3000,3.4,1499,22.6,74.6
MT,0621 - Agrícola,Médio,Grave,1,1,181470.24,376689.09,500,4.2,2038,21.9,79.4
GO,0635 - Florestas,Crítico,Leve,11,11,476595.59,188129.79,11000,2.8,1314,23.5,90.3
MG,0622 - Penhor Rural,Médio,Leve,5,2,86876.91,41750.36,5000,4.4,1620,24.4,80.5
GO,0622 - Penhor Rural,Baixo,Leve,10,4,62469.25,388573.46,10000,2.9,1207,27.0,79.1
SP,0622 - Penhor Rural,Crítico,Leve,7,11,410232.11,279202.12,7000,2.7,1377,22.1,92.7
RS,0621 - Agrícola,Médio,Leve,10,10,416960.46,212111.0,10000,6.2,1588,22.3,79.0
GO,0622 - Penhor Rural,Baixo,Moderado,9,10,487136.68,453177.19,6000,2.5,1542,21.2,68.2
MG,0622 - Penhor Rural,Baixo,Leve,12,0,551416.22,55598.74,12000,3.4,1207,19.6,66.6
GO,0621 - Agrícola,Alto,Grave,7,0,732492.76,246312.55,3500,4.5,1469,23.9,88.3
GO,0631 - Benfeitorias,Médio,Grave,9,9,399317.75,5676.82,4500,2.2,1426,24.8,74.6
GO,0621 - Agrícola,Médio,Leve,8,8,259143.44,234330.32,8000,3.6,1412,23.9,78.3
PR,0622 - Penhor Rural,Alto,Leve,12,6,601509.99,28151.64,12000,4.2,1727,15.9,83.1
PR,0621 - Agrícola,Alto,Leve,2,0,221353.38,59408.96,2000,4.6,1654,19.8,86.9
RS,0631 - Benfeitorias,Baixo,Moderado,1,11,343254.28,58763.12,667,4.5,1396,16.4,71.3
MT,0621 - Agrícola,Baixo,Leve,7,7,81880.88,324605.15,7000,2.7,1935,27.3,74.2
GO,0622 - Penhor Rural,Baixo,Moderado,7,2,43379.29,373022.44,4667,3.9,1546,24.7,68.0
